iter	Passed	Remaining
416	2739	3829
417	2745	3823
418	2752	3816
419	2758	3809
420	2765	3803
421	2771	3796
422	2778	3789
423	2784	3782
424	2790	3775
425	2796	3768
426	2803	3761
427	2809	3755
428	2816	3748
429	2822	3741
430	2828	3734
431	2835	3727
432	2841	3721
433	2847	3714
434	2854	3707
435	2860	3700
436	2867	3693
437	2873	3686
438	2879	3679
439	2885	3672
440	2892	3665
441	2898	3658
442	2904	3652
443	2911	3645
444	2917	3638
445	2923	3631
446	2929	3624
447	2935	3617
448	2942	3610
449	2948	3604
450	2955	3597
451	2962	3591
452	2968	3584
453	2974	3577
454	2981	3571
455	2987	3564
456	2993	3557
457	2999	3550
458	3006	3543
459	3012	3536
460	3018	3529
461	3025	3523
462	3031	3516
463	3038	3509
464	3044	3502
465	3050	3495
466	3056	3488
467	3063	3481
468	3069	3475
469	3075	3468
470	3081	3461
471	3088	3455
472	3095	3448
473	3101	3441
474	3107	3435
475	3114	3428
476	3120	3421
477	3127	3415
478	3133	3408
479	3140	3401
480	3146	3394
481	3152	3387
482	3159	3381
483	3165	3374
484	3171	3368
485	3178	3361
486	3184	3354
487	3191	3348
488	3197	3341
489	3204	3335
490	3210	3328
491	3217	3321
492	3223	3315
493	3230	3308
494	3236	3301
495	3243	3295
496	3249	3288
497	3255	3282
498	3262	3275
499	3268	3268
500	3275	3262
501	3281	3255
502	3287	3248
503	3294	3242
504	3301	3235
505	3307	3228
506	3313	3222
507	3320	3215
508	3326	3209
509	3333	3202
510	3339	3195
511	3345	3189
512	3352	3182
513	3358	3175
514	3365	3169
515	3371	3162
516	3378	3156
517	3384	3149
518	3391	3143
519	3398	3136
520	3404	3130
521	3411	3123
522	3417	3117
523	3424	3110
524	3430	3103
525	3437	3097
526	3443	3090
527	3449	3083
528	3455	3076
529	3462	3070
530	3468	3063
531	3475	3056
532	3481	3050
533	3487	3043
534	3494	3037
535	3500	3030
536	3506	3023
537	3513	3016
538	3519	3010
539	3526	3003
540	3532	2997
541	3539	2990
542	3545	2984
543	3551	2977
544	3558	2970
545	3564	2963
546	3571	2957
547	3577	2950
548	3583	2943
549	3590	2937
550	3596	2930
551	3602	2924
552	3609	2917
553	3615	2910
554	3621	2904
555	3627	2897
556	3634	2890
557	3640	2883
558	3646	2877
559	3653	2870
560	3662	2866
561	3669	2859
562	3675	2853
563	3682	2846
564	3688	2839
565	3694	2833
566	3701	2826
567	3707	2819
568	3714	2813
569	3720	2806
570	3727	2800
571	3733	2793
572	3740	2787
573	3746	2780
574	3753	2774
575	3759	2767
576	3766	2761
577	3772	2754
578	3779	2747
579	3785	2741
580	3792	2734
581	3798	2728
582	3804	2721
583	3811	2714
584	3817	2708
585	3823	2701
586	3829	2694
587	3836	2688
588	3843	2681
589	3849	2675
590	3855	2668
591	3862	2661
592	3868	2655
593	3875	2648
594	3881	2642
595	3887	2635
596	3893	2628
597	3900	2621
598	3906	2615
599	3913	2608
600	3919	2601
601	3925	2595
602	3931	2588
603	3938	2582
604	3944	2575
605	3951	2568
606	3957	2562
607	3964	2555
608	3970	2549
609	3976	2542
610	3983	2535
611	3989	2529
612	3996	2522
613	4002	2516
614	4009	2509
615	4015	2503
616	4022	2496
617	4028	2490
618	4034	2483
619	4040	2476
620	4047	2470
621	4053	2463
622	4059	2456
623	4066	2450
624	4073	2444
625	4080	2437
626	4086	2431
627	4093	2424
628	4099	2417
629	4105	2411
630	4112	2404
631	4118	2398
632	4125	2391
633	4131	2385
634	4138	2378
635	4144	2372
636	4150	2365
637	4157	2358
638	4163	2352
639	4169	2345
640	4176	2338
641	4184	2333
642	4191	2327
643	4198	2321
644	4205	2314
645	4211	2308
646	4218	2301
647	4224	2294
648	4231	2288
649	4238	2282
650	4244	2275
651	4251	2269
652	4258	2262
653	4265	2256
654	4272	2250
655	4279	2244
656	4286	2237
657	4293	2231
658	4300	2225
659	4307	2218
660	4313	2212
661	4320	2206
662	4327	2199
663	4334	2193
664	4340	2186
665	4347	2180
666	4354	2173
667	4360	2167
668	4367	2160
669	4374	2154
670	4380	2148
671	4387	2141
672	4393	2134
673	4400	2128
674	4407	2121
675	4413	2115
676	4420	2109
677	4426	2102
678	4433	2096
679	4440	2089
680	4447	2083
681	4453	2076
682	4460	2070
683	4467	2063
684	4477	2058
685	4484	2052
686	4491	2046
687	4497	2039
688	4504	2033
689	4510	2026
690	4516	2019
691	4522	2013
692	4529	2006
693	4535	1999
694	4542	1993
695	4548	1986
696	4554	1979
697	4560	1973
698	4567	1966
699	4573	1960
700	4579	1953
701	4586	1946
702	4592	1940
703	4598	1933
704	4604	1926
705	4611	1920
706	4617	1913
707	4623	1906
708	4630	1900
709	4636	1893
710	4643	1887
711	4649	1880
712	4655	1874
713	4662	1867
714	4670	1861
715	4678	1855
716	4688	1850
717	4696	1844
718	4705	1838
719	4713	1833
720	4722	1827
721	4731	1821
722	4739	1815
723	4747	1810
724	4756	1804
725	4765	1798
726	4773	1792
727	4782	1786
728	4791	1781
729	4799	1775
730	4808	1769
731	4817	1763
732	4825	1757
733	4834	1751
734	4842	1745
735	4851	1740
736	4859	1734
737	4868	1728
738	4876	1722
739	4885	1716
740	4893	1710
741	4902	1704
742	4910	1698
743	4919	1692
744	4927	1686
745	4936	1680
746	4944	1674
747	4953	1668
748	4962	1662
749	4970	1656
750	4979	1650
751	4987	1644
752	4993	1638
753	5000	1631
754	5006	1624
755	5012	1617
756	5019	1611
757	5025	1604
758	5032	1597
759	5039	1591
760	5045	1584
761	5052	1578
762	5059	1571
763	5066	1564
764	5072	1558
765	5079	1551
766	5085	1544
767	5092	1538
768	5098	1531
769	5104	1524
770	5111	1518
771	5117	1511
772	5123	1504
773	5129	1497
774	5136	1491
775	5142	1484
776	5148	1477
777	5155	1471
778	5161	1464
779	5167	1457
780	5174	1450
781	5180	1444
782	5186	1437
783	5192	1430
784	5199	1423
785	5205	1417
786	5211	1410
787	5217	1403
788	5223	1397
789	5230	1390
790	5236	1383
791	5243	1376
792	5249	1370
793	5255	1363
794	5262	1356
795	5268	1350
796	5274	1343
797	5281	1336
798	5287	1330
799	5293	1323
800	5300	1316
801	5306	1310
802	5312	1303
803	5319	1296
804	5325	1290
805	5332	1283
806	5338	1276
807	5345	1270
808	5351	1263
809	5358	1256
810	5364	1250
811	5370	1243
812	5377	1236
813	5383	1230
814	5389	1223
815	5396	1216
816	5402	1210
817	5408	1203
818	5415	1196
819	5421	1190
820	5428	1183
821	5434	1176
822	5441	1170
823	5447	1163
824	5453	1156
825	5460	1150
826	5467	1143
827	5473	1137
828	5479	1130
829	5486	1123
830	5492	1116
831	5498	1110
832	5505	1103
833	5511	1097
834	5517	1090
835	5524	1083
836	5530	1077
837	5537	1070
838	5543	1063
839	5549	1057
840	5556	1050
841	5562	1043
842	5568	1037
843	5575	1030
844	5581	1023
845	5588	1017
846	5594	1010
847	5600	1003
848	5607	997
849	5613	990
850	5620	984
851	5627	977
852	5633	970
853	5639	964
854	5646	957
855	5652	950
856	5659	944
857	5665	937
858	5672	931
859	5678	924
860	5685	917
861	5691	911
862	5697	904
863	5703	897
864	5710	891
865	5717	884
866	5723	878
867	5730	871
868	5736	864
869	5743	858
870	5749	851
871	5755	844
872	5762	838
873	5768	831
874	5774	824
875	5780	818
876	5787	811
877	5793	805
878	5799	798
879	5806	791
880	5812	785
881	5818	778
882	5825	771
883	5831	765
884	5837	758
885	5844	752
886	5850	745
887	5857	738
888	5863	732
889	5870	725
890	5876	718
891	5883	712
892	5889	705
893	5896	699
894	5902	692
895	5908	685
896	5915	679
897	5921	672
898	5927	665
899	5933	659
900	5940	652
901	5946	646
902	5953	639
903	5959	632
904	5966	626
905	5972	619
906	5978	613
907	5984	606
908	5991	599
909	5997	593
910	6003	586
911	6010	579
912	6016	573
913	6022	566
914	6029	560
915	6036	553
916	6042	546
917	6049	540
918	6055	533
919	6062	527
920	6068	520
