cor, best_epoch, model, layer_num, hidden_chanel, word, category, city, pref, station, spot
0.51907,37,deeptour,3,512,False,True,True,True,False,False
0.51096,39,deeptour,3,512,False,True,True,True,False,False
0.51301,40,deeptour,3,512,False,True,True,True,False,False
0.50833,51,deeptour,3,512,False,True,True,False,False,False
0.51121,39,deeptour,3,512,False,True,True,False,False,False
0.52051,42,deeptour,3,512,False,True,True,False,False,False
0.49842,43,deeptour,3,512,False,True,False,False,False,False
0.50056,30,deeptour,3,512,False,True,False,False,False,False
0.50288,39,deeptour,3,512,False,True,False,False,False,False
0.45369,39,deeptour,3,512,False,False,True,True,True,False
0.47251,60,deeptour,3,512,False,False,True,True,True,False
0.44758,42,deeptour,3,512,False,False,True,True,True,False
0.46018,57,deeptour,3,512,False,False,True,False,True,False
0.45998,55,deeptour,3,512,False,False,True,False,True,False
0.46756,64,deeptour,3,512,False,False,True,False,True,False
0.44947,43,deeptour,3,512,False,False,True,True,False,False
0.45889,45,deeptour,3,512,False,False,True,True,False,False
0.46033,50,deeptour,3,512,False,False,True,True,False,False
0.45825,63,deeptour,3,512,False,False,True,False,False,False
0.46297,69,deeptour,3,512,False,False,True,False,False,False
0.46561,75,deeptour,3,512,False,False,True,False,False,False
0.81686,35,deeptour,3,512,True,True,True,False,True,False
0.81391,33,deeptour,3,512,True,True,True,False,True,False
0.8151,46,deeptour,3,512,True,True,True,False,True,False
0.81465,32,deeptour,3,512,True,True,True,False,True,False
0.81776,46,deeptour,3,512,True,True,True,False,True,False
0.81855,36,deeptour,3,512,True,True,True,False,True,False
0.819,33,deeptour,3,512,True,True,True,False,True,False
0.81669,38,deeptour,3,512,True,True,True,False,True,False
0.81812,41,deeptour,3,512,True,True,True,False,True,False
0.81669,40,deeptour,3,512,True,True,True,False,True,False
0.82277,37,deeptour,3,512,True,True,True,False,True,False
0.81522,31,deeptour,3,512,True,True,True,False,True,False
0.81474,38,deeptour,3,512,True,True,True,False,True,False
0.82053,39,deeptour,3,512,True,True,True,False,True,False
0.81116,48,deeptour,3,512,True,True,True,False,True,50
0.8103,45,deeptour,3,512,True,True,True,False,True,100
0.81255,42,deeptour,3,512,True,True,True,False,True,200
0.8117,42,deeptour,3,512,True,True,True,False,True,500
0.51189,4,deeptour,3,16,True,True,True,False,True,False
0.44184,4,deeptour,3,16,True,True,True,False,True,False
0.53226,4,deeptour,3,16,True,True,True,False,True,False
0.47754,4,deeptour,3,16,True,True,True,False,True,False
0.64822,4,deeptour,3,16,True,True,True,False,True,False
0.8081,40,deeptour,3,512,True,True,True,False,True,50
0.81079,44,deeptour,3,512,True,True,True,False,True,100
0.80937,43,deeptour,3,512,True,True,True,False,True,200
0.81252,45,deeptour,3,512,True,True,True,False,True,500
0.81814,36,deeptour,3,512,True,True,True,False,True,False
0.80884,34,deeptour,3,512,True,True,True,False,True,False
